ID,Company,Business Unit,Department,Job Title,Business Title,Supervisor ID,Reg/Temp,Full/Part,Start Date,Rehire Date,Term Date,Voluntary / Involuntary,Term Reason,Age,Gender,EEO-1 Category,Ethnicity,Marital Status,Zip Code,Date of Last Promo,Promo Reason,Term(1)/Stay(0),Rehire Flag,Promo Flag,Lat_Lng_Home,Office_zip,Lat_Lng_Office,Distance_mile,Length_Stay
emp0130,"McCann Relationship Mktg, LLC",MRM McCann New Jersey,Creative,Art Director,Creative Director Art,sup0069,Temporary,1,1999-09-28,2014-01-06,2014-04-25,Voluntary,End Temporary Employment-V,51.28,1,2-Professionals,1-White,0,11211,5/1/05,Outstanding Performance,1,1,1,"(40.71, -73.95)",08540,"(40.4, -74.7)",44.89483873116236,109 days 00:00:00.000000000
emp0831,"McCann-Erickson USA, Inc.",ME McCann Salt Lake City,PRD Project Management,Project Management Specialist,Technical Project Manager,sup0121,Temporary,1,2007-02-20,2015-01-26,2015-03-20,Voluntary,End Temporary Employment-V,56.63,1,2-Professionals,1-White,0,84106,,,1,1,0,"(40.71, -111.86)",84111,"(40.76, -111.88)",3.606295182955766,53 days 00:00:00.000000000
emp1031,"McCann Relationship Mktg, LLC",MRM McCann New York,Strategic Planning,Strategic Planner,Digital Strategist,sup0188,Temporary,1,2013-11-04,2014-09-12,2015-02-20,Voluntary,End Temporary Employment-V,27.41,1,2-Professionals,1-White,0,11105,,,1,1,0,"(40.78, -73.91)",10017,"(40.75, -73.973)",3.8999987324625227,161 days 00:00:00.000000000
emp1422,"McCann-Erickson USA, Inc.",ME McCann Salt Lake City,MGT Account Service,Account Supervisor/Manager,Account Supervisor,sup0470,Regular,1,2013-09-23,,2017-05-17,Voluntary,Resignation-V,52.3,0,B-First/Mid Level Officials,1-White,0,84043,,,1,0,0,"(40.39, -111.85)",84111,"(40.76, -111.88)",25.578967703338986,1332 days 00:00:00.000000000
emp1641,"McCann Relationship Mktg, LLC",MRM McCann New Jersey,Creative,Associate Creative Director,VP Associate Creative Director,sup0267,Regular,1,1997-09-24,2005-03-21,2016-12-01,Involuntary,Elimination of Position-I,48.7,1,B-First/Mid Level Officials,1-White,0,08648,10/16/06,Normal Career Progression,1,1,1,"(40.28, -74.72)",08540,"(40.4, -74.7)",8.34679678935912,4273 days 00:00:00.000000000
emp1758,"McCann Relationship Mktg, LLC",MRM McCann New York,Creative,Creative Director,VP Creative Director,sup0070,Regular,1,1999-01-05,2008-05-30,2018-01-31,Voluntary,Relocation-V,48.75,0,B-First/Mid Level Officials,1-White,0,07208,1/1/16,Normal Career Progression,1,1,1,"(40.68, -74.23)",10017,"(40.75, -73.973)",14.331908247112185,3533 days 00:00:00.000000000
emp1866,"McCann Relationship Mktg, LLC",MRM McCann New Jersey,Strategic Planning,Digital Strategist,Senior Social Media Strategist,sup0395,Regular,1,2013-05-06,,2016-05-27,Voluntary,Resignation-V,30.44,1,2-Professionals,1-White,0,18902,11/1/14,Outstanding Performance,1,0,1,"(40.36, -75.11)",08540,"(40.4, -74.7)",21.80936907968969,1117 days 00:00:00.000000000
emp1932,"McCann-Erickson USA, Inc.",ME McCann Salt Lake City,SPR Engagement Planning,Engagement Planner,Engagement Planner,sup0295,Regular,1,2012-06-11,,2017-08-31,Voluntary,Resignation-Other Position-V,35.39,1,2-Professionals,1-White,0,84106,5/1/15,Normal Career Progression,1,0,1,"(40.71, -111.86)",84111,"(40.76, -111.88)",3.606295182955766,1907 days 00:00:00.000000000
emp2003,"McCann Relationship Mktg, LLC",MRM McCann New York,Broadcast,Head of Production,SVP Dir of Broadcast Prod,sup0070,Regular,1,1981-01-05,2010-04-05,2017-11-01,Involuntary,Elimination of Position-I,67.41,1,A-Executive/Sr Level Officials,1-White,0,10023,2/1/12,Outstanding Performance,1,1,1,"(40.78, -73.98)",10017,"(40.75, -73.973)",2.102410699366241,2767 days 00:00:00.000000000
emp2064,"McCann Relationship Mktg, LLC",ME MRM Detroit,Account Management,Management Supervisor,Business Mgr,sup0205,Regular,1,1997-05-12,2011-07-18,2018-04-09,Involuntary,Elimination of Position-I,47.44,1,B-First/Mid Level Officials,1-White,0,48236,,,1,1,0,"(42.42, -82.9)",48009,"(42.55, -83.22)",18.648880374931817,2457 days 00:00:00.000000000
emp2213,"McCann Relationship Mktg, LLC",ME MRM Detroit,Project Management,Project Coordinator,Content Analyst,sup0152,Regular,1,2012-06-04,,2015-07-15,Voluntary,Relocation-V,26.65,1,2-Professionals,1-White,0,49237,5/1/14,Outstanding Performance,1,0,1,"(42.18, -84.64)",48009,"(42.55, -83.22)",77.03868033807574,1136 days 00:00:00.000000000
emp2405,"McCann Relationship Mktg, LLC",MRM McCann New York,Creative,Senior Art Director,Senior Art Director,sup0189,Regular,1,2009-08-19,,2016-05-02,Involuntary,Elimination of Position-I,62.36,0,2-Professionals,1-White,0,10022,,,1,0,0,"(40.76, -73.97)",10017,"(40.75, -73.973)",0.7077557007034554,2448 days 00:00:00.000000000
emp2602,"McCann Relationship Mktg, LLC",MRM McCann New York,Creative,Tech Specialist/Architect,Information Architect,sup0418,Regular,1,2008-07-28,,2015-03-03,Involuntary,Elimination of Position-I,56.39,1,2-Professionals,1-White,0,10598,,,1,0,0,"(41.29, -73.79)",10017,"(40.75, -73.973)",38.47100554918078,2409 days 00:00:00.000000000
emp2614,"McCann-Erickson USA, Inc.",ME McCann Salt Lake City,SPR Experience Planning,User Experience Director,"VP, Exper Planning Director",sup0239,Regular,1,2006-01-03,,2016-08-02,Involuntary,Staff Reduction-I,48.79,0,B-First/Mid Level Officials,1-White,0,84124,,,1,0,0,"(40.68, -111.79)",84111,"(40.76, -111.88)",7.266216342485711,3864 days 00:00:00.000000000
emp1804,"McCann Relationship Mktg, LLC",MRM McCann New York,Technology,Dig Front End Developers,Front End Developer,sup0025,Regular,1,2013-06-11,,2015-10-09,Voluntary,Resignation-Other Position-V,27.04,0,2-Professionals,1-White,0,11235,1/1/15,Outstanding Performance,1,0,1,"(40.58, -73.95)",10017,"(40.75, -73.973)",11.792372030606684,850 days 00:00:00.000000000
